Marca;Modelo;Comb;Faixa;Ano;Valor;Nome;;;
VW ;15.190 EOD E.HD ORE;D;>100;2013; 117.206 ;15.190;;;
BMW ;X3 XDRIVE 35I WX71;G;>100;2014; 117.077 ;X3;;;
TOYOTA ;HILUX SWSR A2GF;G;>100;2016; 117.045 ;HILUX;;;
FORD ;RANGER LTDCD4A32C;G;>100;2017; 117.042 ;RANGER;;;
BMW ;M135I 1B71;G;>100;2014; 117.005 ;M135I;;;
BMW ;Z4SDRIVE20I LL31;G;>100;2011; 116.929 ;Z4SDRIVE20I;;;
VW ;COMIL CAMPIONE R;D;>100;2009; 116.915 ;COMIL;;;
VW ;PASSAT HL TSI AA;G;>100;2017; 116.908 ;PASSAT;;;
TOYOTA ;HILUX CDSR A4FD;D;>100;2016; 116.907 ;HILUX;;;
VW ;MPOLO SEN MIDI ON;D;>100;2006; 116.893 ;MPOLO;;;
CHEVROLET ;S10 LT DD4;D;>100;2019; 116.869 ;S10;;;
RENAULT ;MASTER NIKS MO20;D;>100;2020; 116.822 ;MASTER;;;
RENAULT ;MASTER MAR P CAD;D;>100;2020; 116.822 ;MASTER;;;
JAGUAR ;XF V8 LUXURY;G;>100;2010; 116.798 ;XF;;;
JAGUAR ;XF 2.0 PLUXURY;G;>100;2013; 116.768 ;XF;;;
VW ;GOLF GTI AC;G;>100;2018; 116.766 ;GOLF;;;
HONDA ;ACCORD EX V6;G;>100;2017; 116.685 ;ACCORD;;;
VW ;MPOLO VIALE U;D;>100;2013; 116.664 ;MPOLO;;;
VW ;MPOLO SENIOR R;D;>100;2019; 116.637 ;MPOLO;;;
VOLVO ;VM 220 6X2R;D;>100;2015; 116.550 ;VM;;;
FIAT ;DUCATO MAIA AMB;D;>100;2021; 116.532 ;DUCATO;;;
JAGUAR ;XF V8 P LUXURY;G;>100;2009; 116.493 ;XF;;;
FORD ;CARGO 2042 AT;D;>100;2012; 116.403 ;CARGO;;;
VOLVO ;XC60 2.0 T6 INS;G;>100;2015; 116.356 ;XC60;;;
BMW ;X6 XDRIVE35I;G;>100;2011; 116.313 ;X6;;;
RENAULT ;FOZ BR MCASA.CH;D;>100;2014; 116.296 ;FOZ;;;
AUDI ;Q5 3.0TFSI;G;>100;2013; 116.291 ;Q5;;;
FORD ;F 4000 4X4 P;D;>100;2018; 116.229 ;F;;;
VW ;MASCA GRANFLEX O;D;>100;2008; 116.141 ;MASCA;;;
VW ;26.260 CNM 6X4;D;>100;2011; 116.092 ;26.260;;;
HYUNDAI ;IX35 GLS;G;>100;2021; 116.085 ;IX35;;;
AUDI ;A5 CABRIO 2.0TFSI;G;>100;2013; 116.071 ;A5;;;
FORD ;CARGO 2423;D;>100;2014; 116.024 ;CARGO;;;
VW ;31.370 CNM 6X4;D;>100;2010; 116.019 ;31.370;;;
VW ;26.260 CNM 6X4;G;>100;2011; 116.015 ;26.260;;;
HONDA ;CIVIC TOURING CVT;G;>100;2020; 116.000 ;CIVIC;;;
VW ;17.330 CRC 4X2;D;>100;2011; 115.981 ;17.330;;;
PEUGEOT ;EXPERT BUSINPK;D;>100;2021; 115.970 ;EXPERT;;;
HONDA ;HR V TOURING;G;>100;2020; 115.954 ;HR;;;
VW ;17230EOD NEOBUS SROD;D;>100;2006; 115.946 ;17230EOD;;;
CHEVROLET ;S10 LT DD4A;G;>100;2019; 115.942 ;S10;;;
RENAULT ;MASTER TRANS ESC;D;>100;2021; 115.930 ;MASTER;;;
TOYOTA ;HILUX CDSR A4FD;D;>100;2015; 115.892 ;HILUX;;;
FORD ;MULTIEIXO 6332E 8X4;D;>100;2011; 115.877 ;MULTIEIXO;;;
VW ;17.280 CRM 4X2 4P;D;>100;2013; 115.871 ;17.280;;;
VW ;17.280 CRM 4X2;D;>100;2013; 115.871 ;17.280;;;
VW ;17260 EOT NEOBUS SPEC;D;>100;2010; 115.792 ;17260;;;
VW ;MASCA GRANMICRO O;D;>100;2015; 115.777 ;MASCA;;;
BMW ;X3 XDRIVE20I;G;>100;2015; 115.758 ;X3;;;
FORD ;CARGO 1723 K;D;>100;2014; 115.754 ;CARGO;;;
VW ;IBRAVA APOLLO;D;>100;2011; 115.737 ;IBRAVA;;;
VW ;COMIL PIAECOXRURAL.MO;D;>100;2014; 115.696 ;COMIL;;;
FIAT ;TORO VOLCANO AT9 D4;D;>100;2020; 115.636 ;TORO;;;
BMW ;X5 XDRIVE35I;G;>100;2012; 115.630 ;X5;;;
VW ;NEOBUS MEGA U;D;>100;2013; 115.603 ;NEOBUS;;;
VW ;INDUSCAR MIL U OT;D;>100;2011; 115.520 ;INDUSCAR;;;
BMW ;M3 WD91;G;>100;2007; 115.518 ;M3;;;
CHEV ;EQUINOX PREMIER;G;>100;2018; 115.497 ;EQUINOX;;;
JEEP ;COMPASS LIMITED F H;G;>100;2019; 115.433 ;COMPASS;;;
VW ;17.190 WORKER;D;>100;2015; 115.324 ;17.190;;;
VW ;26.370 CLM T 6X4;D;>100;2010; 115.271 ;26.370;;;
VW ;MPOLO SENIOR MO;D;>100;2012; 115.246 ;MPOLO;;;
FIAT ;DUCATO ENGESIGMIC;D;>100;2019; 115.215 ;DUCATO;;;
VW ;26.280 CRM 6X4;D;>100;2012; 115.134 ;26.280;;;
FIAT ;DUCATO ENGESIGEXE;D;>100;2019; 115.134 ;DUCATO;;;
VOLVO ;BUSSCAR URBPLUS U;D;>100;2008; 115.129 ;BUSSCAR;;;
FORD ;CARGO 1119;D;>100;2018; 115.108 ;CARGO;;;
VOLVO ;BUSSCAR JUM BUSS R;D;>100;2007; 115.076 ;BUSSCAR;;;
VW ;13.190 CRM 4X2 4P;D;>100;2016; 115.057 ;13.190;;;
VW ;15.190 WORKER;D;>100;2016; 115.057 ;15.190;;;
HONDA ;ACCORD LX;G;>100;2017; 115.030 ;ACCORD;;;
VW ;13.190 CRM 4X2;D;>100;2016; 115.001 ;13.190;;;
VW ;TIGUAN ALLSPACE CL;G;>100;2017; 114.982 ;TIGUAN;;;
FORD ;CARGO 6332 E;D;>100;2011; 114.973 ;CARGO;;;
TOYOTA ;HILUX CDLOWM4FD;D;>100;2019; 114.889 ;HILUX;;;
BMW ;Z4 SDRIVE3.5I LM71;G;>100;2010; 114.861 ;Z4;;;
VW ;13.160 DRC 6X2;D;>100;2017; 114.861 ;13.160;;;
VOLVO ;VM 270 4X2R;D;>100;2014; 114.823 ;VM;;;
JEEP ;GCHEROKEE LTD CRD;D;>100;2013; 114.790 ;GCHEROKEE;;;
VOLVO ;V60 2.0 T6 R DES;G;>100;2016; 114.784 ;V60;;;
TOYOTA ;HILUX CDSR A2GF;G;>100;2020; 114.753 ;HILUX;;;
VW ;BUSSCAR ECOSS U;D;>100;2009; 114.697 ;BUSSCAR;;;
DODGE ;RAM SCHEID.CM;D;>100;2012; 114.694 ;RAM;;;
BMW ;550I FR91;G;>100;2010; 114.648 ;550I;;;
VW ;BMB 26.260 CNM CM;D;>100;2009; 114.605 ;BMB;;;
BMW ;X5 XDRIVE 35I ZV41;G;>100;2012; 114.568 ;X5;;;
NISSAN ;370Z;G;>100;2011; 114.522 ;370Z;;;
VW ;26.280 CRM 6X4;D;>100;2011; 114.521 ;26.280;;;
VW ;MULTIEIXO 31320 8X4;D;>100;2008; 114.521 ;MULTIEIXO;;;
KIA ;SPORTAGE EX2 FFG3;G;>100;2019; 114.516 ;SPORTAGE;;;
RENAULT ;MASTER MARIM PAS;D;>100;2019; 114.512 ;MASTER;;;
FIAT ;TORO RANCH AT9 D4;D;>100;2019; 114.491 ;TORO;;;
VOLVO ;VM 310 6X4R;D;>100;2011; 114.471 ;VM;;;
HYUNDAI ;IX35 GL;G;>100;2021; 114.449 ;IX35;;;
VW ;COMIL SVELTO U;D;>100;2014; 114.433 ;COMIL;;;
CITROEN ;C4L SHINE AUT;G;>100;2021; 114.382 ;C4L;;;
VW ;15.180 ATHOS MC.CM;D;>100;2013; 114.381 ;15.180;;;
VW ;INDUSCAR FOZ VWOD;D;>100;2014; 114.363 ;INDUSCAR;;;
VW ;MASCA GRANMINI M;D;>100;2017; 114.363 ;MASCA;;;
FORD ;CARGO 1719 B;D;>100;2015; 114.310 ;CARGO;;;
BMW ;335I 3A91;G;>100;2012; 114.283 ;335I;;;
PEUGEOT ;EXPERT BUSIN;D;>100;2021; 114.221 ;EXPERT;;;
VW ;TOUAREG 4.2 V8;G;>100;2013; 114.152 ;TOUAREG;;;
HYUNDAI ;CRETA 20A PRESTI;G;>100;2021; 114.123 ;CRETA;;;
VW ;17230EOD NEOBUS MEGA;D;>100;2010; 114.111 ;17230EOD;;;
FORD ;CARGO 2423 L;D;>100;2014; 114.082 ;CARGO;;;
VW ;MPOLO IDEALE R;D;>100;2008; 114.067 ;MPOLO;;;
VW ;MPOLO TORINO U;D;>100;2010; 114.034 ;MPOLO;;;
BMW ;X3 XDRIVE20I WX31;G;>100;2015; 114.021 ;X3;;;
AUDI ;A3 SPB 122CV;G;>100;2020; 113.993 ;A3;;;
JAGUAR ;XF 2.0 LUXURY;G;>100;2013; 113.945 ;XF;;;
VW ;INDUSCAR APACHE U;D;>100;2011; 113.925 ;INDUSCAR;;;
FORD ;CARGO 2429 SL;D;>100;2013; 113.905 ;CARGO;;;
FORD ;CARGO 2429 L;D;>100;2013; 113.903 ;CARGO;;;
FORD ;CARGO 2429;D;>100;2013; 113.894 ;CARGO;;;
FORD ;CARGO 2429 S;D;>100;2013; 113.884 ;CARGO;;;
VW ;24.280 CRM 6X2;D;>100;2013; 113.861 ;24.280;;;
VW ;24.280 CRM 6X2;G;>100;2013; 113.861 ;24.280;;;
NISSAN ;FRONTIER LEATX4;D;>100;2016; 113.857 ;FRONTIER;;;
VW ;24.250C PMERECHIM 8X2;D;>100;2013; 113.843 ;24.250C;;;
FORD ;CARGO 1719;D;>100;2015; 113.834 ;CARGO;;;
RENAULT ;EUROHOME TOUR.CH;D;>100;2018; 113.825 ;EUROHOME;;;
TOYOTA ;HILX PICKUPECIA;D;>100;2019; 113.816 ;HILX;;;
AUDI ;Q5 225CV;G;>100;2015; 113.806 ;Q5;;;
JEEP ;GCHEROKEE SRT8;G;>100;2013; 113.799 ;GCHEROKEE;;;
CHEVROLET ;CAMARO V8 CO;G;>100;2012; 113.727 ;CAMARO;;;
VW ;15.190 EOD E.S.ORE;D;>100;2012; 113.718 ;15.190;;;
VW ;TIGUAN ALLSPACE;G;>100;2019; 113.710 ;TIGUAN;;;
VOLVO ;VM260 PMERECHIM 82;D;>100;2010; 113.710 ;VM260;;;
VOLVO ;FM 370 6X2T;D;>100;2009; 113.704 ;FM;;;
AUDI ;A4 AV 2.0TFSI;G;>100;2016; 113.693 ;A4;;;
TOYOTA ;HILUXSW4 SRV4X4;D;>100;2014; 113.629 ;HILUXSW4;;;
FORD ;MUSTANG SHELBY GT;G;>100;2007; 113.623 ;MUSTANG;;;
VW ;AMAROK CD 4X4 TREND;D;>100;2018; 113.587 ;AMAROK;;;
BMW ;X6XDRIVE 5.0I FG81;G;>100;2008; 113.575 ;X6XDRIVE;;;
FORD ;MUSTANG CONV;G;>100;2009; 113.555 ;MUSTANG;;;
FORD ;RANGER XLSCD4 22C;D;>100;2020; 113.544 ;RANGER;;;
VOLVO ;FH 440 4X2T;D;>100;2010; 113.482 ;FH;;;
VW ;25.390 CTC 6X2;D;>100;2011; 113.421 ;25.390;;;
CHEV ;TRAILBLAZER LT D4A;D;>100;2016; 113.402 ;TRAILBLAZER;;;
GM ;S10 MARIMAR AMB;D;>100;2021; 113.389 ;S10;;;
VOLVO ;INDUSCAR APACHE U;D;>100;2011; 113.359 ;INDUSCAR;;;
FIAT ;TORO RANCH AT D4;D;>100;2019; 113.331 ;TORO;;;
FIAT ;DUCATO CARGO 10;D;>100;2020; 113.329 ;DUCATO;;;
FORD ;EDGE 3.5;G;>100;2016; 113.256 ;EDGE;;;
VOLVO ;FH 400 4X2T;D;>100;2010; 113.240 ;FH;;;
AUDI ;A5 CP 225CV;G;>100;2014; 113.229 ;A5;;;
VW ;17.190 WORKER;D;>100;2014; 113.226 ;17.190;;;
FORD ;MUSTANG GT COUPE;G;>100;2008; 113.203 ;MUSTANG;;;
VW ;17.230 WORKER 4X2;D;>100;2014; 113.186 ;17.230;;;
AUDI ;TT RD 2.0TFSI;G;>100;2013; 113.182 ;TT;;;
HONDA ;CIVIC SPORT CVT;G;>100;2021; 113.159 ;CIVIC;;;
AUDI ;A3 CB 180CV;G;>100;2015; 113.118 ;A3;;;
VW ;IRIZAR CENTURY S1;D;>100;2012; 113.100 ;IRIZAR;;;
NISSAN ;370Z COUPE;G;>100;2012; 113.095 ;370Z;;;
JEEP ;RENEGADE MOAB;D;>100;2020; 113.095 ;RENEGADE;;;
RENAULT ;MASTER FFORMA.ES;D;>100;2019; 113.095 ;MASTER;;;
FORD ;RANGER XLTCD4A32C;D;>100;2017; 113.016 ;RANGER;;;
VW ;9.160 MIB G9 SAFE ONE;D;>100;2017; 112.997 ;9.160;;;
CHEV ;CRUZE LT HB AT;G;>100;2021; 112.921 ;CRUZE;;;
CHEV ;CRUZE LT NB AT;G;>100;2021; 112.921 ;CRUZE;;;
VOLVO ;FM 370 4X2T;D;>100;2011; 112.916 ;FM;;;
VW ;MPOLO VIAGGIO R;D;>100;2010; 112.903 ;MPOLO;;;
TOYOTA ;HILUX CDSRVA2GF;G;>100;2020; 112.902 ;HILUX;;;
FORD ;MULTIEIXO 6332E 8X4;D;>100;2010; 112.878 ;MULTIEIXO;;;
FORD ;RANGER XLSCD4A22C;D;>100;2019; 112.872 ;RANGER;;;
VOLVO ;COMIL VERSATILE R;D;>100;2012; 112.860 ;COMIL;;;
RENAULT ;MASTER ALTER AM2;D;>100;2019; 112.797 ;MASTER;;;
VOLVO ;FH 440 6X2T;D;>100;2007; 112.782 ;FH;;;
VOLVO ;XC40 T4;G;>100;2018; 112.765 ;XC40;;;
FORD ;CARGO BELP 2429 SL;D;>100;2013; 112.725 ;CARGO;;;
BMW ;320I ACTIVE FLEX;G;>100;2017; 112.697 ;320I;;;
VOLVO ;XC60 2.0T5 R DES;G;>100;2016; 112.635 ;XC60;;;
VOLVO ;VM 270 6X4R;D;>100;2012; 112.627 ;VM;;;
VW ;MASCA GRANMIDI EOD O;D;>100;2011; 112.576 ;MASCA;;;
HONDA ;HR V EX CVT;G;>100;2021; 112.568 ;HR;;;
VW ;MULTIEIXO 24250 8X4;D;>100;2011; 112.526 ;MULTIEIXO;;;
VW ;INDUSCAR MIL U OT;D;>100;2010; 112.501 ;INDUSCAR;;;
VW ;25.370 CLM T 6X2;D;>100;2011; 112.468 ;25.370;;;
JAGUAR ;XF 2.0 LUXURY;G;>100;2012; 112.438 ;XF;;;
RENAULT ;MASTER JM 16;D;>100;2018; 112.402 ;MASTER;;;
FORD ;MUSTANG COUPE;G;>100;2008; 112.401 ;MUSTANG;;;
FIAT ;TORO RANCH AT D4;G;>100;2018; 112.374 ;TORO;;;
VW ;13.190 WORKER;D;>100;2016; 112.364 ;13.190;;;
TOYOTA ;HILUX CDSRVA4GF;G;>100;2019; 112.354 ;HILUX;;;
JEEP ;COMPASS LIMITED D;D;>100;2017; 112.351 ;COMPASS;;;
VOLVO ;VM 260 6X2 MASTER;D;>100;2011; 112.340 ;VM;;;
TOYOTA ;COROLLA GLI 20;G;>100;2021; 112.334 ;COROLLA;;;
FORD ;RANGER XLSCD2A22;D;>100;2020; 112.333 ;RANGER;;;
JEEP ;COMPASS NIGHT EGL D;D;>100;2018; 112.330 ;COMPASS;;;
FORD ;CARGO 2623 6X4;D;>100;2014; 112.313 ;CARGO;;;
FORD ;MUSTANG SHELBY GT;G;>100;2006; 112.245 ;MUSTANG;;;
BMW ;X3 XDRIVE 28I;G;>100;2013; 112.233 ;X3;;;
VW ;T CROSS CL TSI AD;G;>100;2021; 112.199 ;T;;;
VOLVO ;BUSSCAR URBPLUS A;D;>100;2007; 112.193 ;BUSSCAR;;;
VW ;MPOLO SENIOR ON;D;>100;2017; 112.164 ;MPOLO;;;
JEEP ;COMPASS LIMITED F;G;>100;2018; 112.141 ;COMPASS;;;
VW ;17.230 WORKER 4X2;D;>100;2013; 112.133 ;17.230;;;
FIAT ;DUCATO MAXIMULTI;D;>100;2018; 112.089 ;DUCATO;;;
CHEVROLET ;S10 HC DD4A;D;>100;2016; 112.040 ;S10;;;
VW ;15.190 EOD E.HD ORE;G;>100;2012; 112.035 ;15.190;;;
VOLVO ;VM 260 4X2R;D;>100;2015; 111.987 ;VM;;;
BMW ;328I GRAN TURISMO;G;>100;2015; 111.978 ;328I;;;
VW ;24.330 CRC 6X2;D;>100;2011; 111.941 ;24.330;;;
TOYOTA ;COROLLA APREMIUMH;G;>100;2020; 111.912 ;COROLLA;;;
FORD ;RANGER XLTCD4A32C;G;>100;2017; 111.912 ;RANGER;;;
CHEVROLET ;S10 HC DD4A;G;>100;2016; 111.902 ;S10;;;
VW ;9.150ODM EL SCHEID DE;D;>100;2013; 111.889 ;9.150ODM;;;
CHEVROLET ;S10 PICKUPECIA;D;>100;2021; 111.734 ;S10;;;
AUDI ;TT CP 2.0TFSI;G;>100;2014; 111.720 ;TT;;;
FORD ;CARGO 1719 B;D;>100;2014; 111.704 ;CARGO;;;
FORD ;CARGO 1933 T;D;>100;2012; 111.686 ;CARGO;;;
FORD ;CARGO 2932 E;D;>100;2008; 111.672 ;CARGO;;;
VW ;15.190 CRM 4X2;D;>100;2014; 111.661 ;15.190;;;
FORD ;MUSTANG V6 COUPE;G;>100;2012; 111.577 ;MUSTANG;;;
RENAULT ;MASTER TCA MIC;D;>100;2021; 111.534 ;MASTER;;;
VW ;MASCA GRANVIA E O;D;>100;2009; 111.507 ;MASCA;;;
VW ;15.190 EOD E.HD ORE;D;>100;2012; 111.479 ;15.190;;;
CHEV ;TRAILBLAZER LTZ D4A;D;>100;2015; 111.450 ;TRAILBLAZER;;;
CHEV ;TRAILBLAZER LTZ D4A;G;>100;2015; 111.450 ;TRAILBLAZER;;;
FORD ;CARGO 1419 S;D;>100;2016; 111.440 ;CARGO;;;
FORD ;MUSTANG CONVERS;G;>100;2008; 111.407 ;MUSTANG;;;
FORD ;CARGO 1719;D;>100;2014; 111.383 ;CARGO;;;
FORD ;CARGO 1419 S;D;>100;2015; 111.381 ;CARGO;;;
FIAT ;DUCATO ENGESIGMIC;D;>100;2018; 111.320 ;DUCATO;;;
FORD ;CARGO 1933 T;D;>100;2011; 111.306 ;CARGO;;;
VW ;MPOLO VIALE U;D;>100;2012; 111.277 ;MPOLO;;;
VW ;PASSAT HL TSI AA;G;>100;2016; 111.273 ;PASSAT;;;
VW ;26.280 CRM 6X4;G;>100;2012; 111.268 ;26.280;;;
VW ;COMIL PIA URB O;D;>100;2013; 111.264 ;COMIL;;;
VOLVO ;VM 270 6X2R;D;>100;2014; 111.263 ;VM;;;
FORD ;CARGO 1933 TL;D;>100;2012; 111.263 ;CARGO;;;
HYUNDAI ;TUCSON TURBO LTD;G;>100;2019; 111.262 ;TUCSON;;;
FORD ;CARGO 2628 CN 6X4;D;>100;2012; 111.255 ;CARGO;;;
VW ;24.280 CRM 6X2 4P;D;>100;2013; 111.245 ;24.280;;;
VW ;MASCA GRANFLEX O;D;>100;2007; 111.241 ;MASCA;;;
VOLVO ;XC60 D5 MOMENTUM;D;>100;2016; 111.240 ;XC60;;;
AUDI ;TT RD 2.0TFSI;G;>100;2012; 111.136 ;TT;;;
AUDI ;TT COUPE 230CV I;G;>100;2014; 111.122 ;TT;;;
JEEP ;WRANGLER SPORT;G;>100;2014; 111.097 ;WRANGLER;;;
VW ;INDUSTREILER STAR.ON;D;>100;2013; 111.011 ;INDUSTREILER;;;
HONDA ;CIVIC LX CVT;G;>100;2021; 110.980 ;CIVIC;;;
VW ;24.250CN PMERECHIM 82;D;>100;2010; 110.979 ;24.250CN;;;
DODGE ;CHARGER RT;G;>100;2011; 110.909 ;CHARGER;;;
AUDI ;Q3 1.4TFSI;G;>100;2018; 110.901 ;Q3;;;
RENAULT ;MASTER CLASSYVAN;D;>100;2019; 110.892 ;MASTER;;;
VOLVO ;NH12380 6X4R;D;>100;2006; 110.872 ;NH12380;;;
NISSAN ;KICKS SL CVT;G;>100;2021; 110.861 ;KICKS;;;
AUDI ;Q5 2.0TFSI;G;>100;2015; 110.859 ;Q5;;;
NISSAN ;FRONTIER S MTX4;D;>100;2020; 110.826 ;FRONTIER;;;
BMW ;X3 XDRIVE 35I WX71;G;>100;2013; 110.800 ;X3;;;
VW ;INDUSCAR FOZ U;D;>100;2010; 110.742 ;INDUSCAR;;;
CHEVROLET ;CAMARO SS;G;>100;2011; 110.727 ;CAMARO;;;
VW ;17.190 HCB MC .CM;D;>100;2013; 110.691 ;17.190;;;
VOLVO ;FH 400 6X2T;D;>100;2010; 110.662 ;FH;;;
HYUNDAI ;TUCSON TURBO GLS;G;>100;2020; 110.631 ;TUCSON;;;
TOYOTA ;HILUX CDSRXA4FD;G;>100;2018; 110.628 ;HILUX;;;
RENAULT ;FOZ BR MCASA.CH;D;>100;2013; 110.603 ;FOZ;;;
AUDI ;Q5 3.0TFSI;G;>100;2012; 110.542 ;Q5;;;
AUDI ;S3 SPB 286CV;G;>100;2014; 110.532 ;S3;;;
RENAULT ;MASTER ALLT AMB2;D;>100;2021; 110.531 ;MASTER;;;
CITROEN ;JUMPY EUROLAF;D;>100;2020; 110.437 ;JUMPY;;;
VW ;26.260 E;D;>100;2011; 110.353 ;26.260;;;
VW ;26.260 CNM 6X4;D;>100;2010; 110.353 ;26.260;;;
AUDI ;A5 CABRIO 2.0TFSI;G;>100;2012; 110.352 ;A5;;;
BMW ;220I CATACTIVEFLEX;G;>100;2018; 110.343 ;220I;;;
BMW ;X1 SDRIVE20I;G;>100;2016; 110.327 ;X1;;;
FORD ;CARGO 1933;D;>100;2012; 110.308 ;CARGO;;;
FIAT ;DUCATO MAXICARGO;D;>100;2019; 110.307 ;DUCATO;;;
VW ;MPOLO ANDARE R;D;>100;2006; 110.292 ;MPOLO;;;
VOLVO ;MULTIEIXO VM260 ED;D;>100;2009; 110.285 ;MULTIEIXO;;;
FORD ;MUSTANG V6PREMIUM;G;>100;2011; 110.280 ;MUSTANG;;;
RENAULT ;MASTER MART L3;D;>100;2019; 110.267 ;MASTER;;;
BMW ;120I;G;>100;2018; 110.252 ;120I;;;
CHEVROLET ;CAMARO 2SS;G;>100;2012; 110.196 ;CAMARO;;;
VW ;26.220 EURO3 WORKER;D;>100;2011; 110.156 ;26.220;;;
VW ;MASCA GRAN MIDI U;D;>100;2013; 110.145 ;MASCA;;;
AUDI ;A7 3.0TFSI;G;>100;2011; 110.125 ;A7;;;
DODGE ;CHALLENGER RT;G;>100;2011; 110.091 ;CHALLENGER;;;
HYUNDAI ;CRETA 16A LTD ED;G;>100;2021; 110.076 ;CRETA;;;
FORD ;F 350 P;D;>100;2019; 110.069 ;F;;;
FORD ;CARGO 1723 L;D;>100;2014; 110.065 ;CARGO;;;
FORD ;CARGO 1723;D;>100;2014; 110.065 ;CARGO;;;
BMW ;M3 PM91;G;>100;2008; 110.054 ;M3;;;
JEEP ;RENEGADE THAWK AT D;D;>100;2019; 110.049 ;RENEGADE;;;
VW ;POLO GTS AE;G;>100;2021; 110.005 ;POLO;;;
VW ;6.160 DRC 4X2;G;>100;2019; 109.975 ;6.160;;;
VOLVO ;BUSSCAR JUM BUSS R;D;>100;2006; 109.946 ;BUSSCAR;;;
JAGUAR ;XF V8 SPORT;G;>100;2008; 109.932 ;XF;;;
JAGUAR ;XF V6 H LUXURY;G;>100;2012; 109.919 ;XF;;;
CHEV ;EQUINOX PREMIER;G;>100;2017; 109.913 ;EQUINOX;;;
DODGE ;CHALLENGER SRT8;G;>100;2012; 109.887 ;CHALLENGER;;;
VW ;24.250;D;>100;2012; 109.886 ;24.250;;;
PEUGEOT ;BOXER ENGTPRES;D;>100;2019; 109.886 ;BOXER;;;
HONDA ;CIVIC TOURING CVT;G;>100;2019; 109.881 ;CIVIC;;;
CHEVROLET ;CAMARO 2SS C;G;>100;2011; 109.856 ;CAMARO;;;
RENAULT ;M NIKS AMBULANCI;D;>100;2021; 109.789 ;M;;;
VOLVO ;BUSSCAR URBPLUS U;D;>100;2007; 109.775 ;BUSSCAR;;;
CHEV ;EQUINOX LT;G;>100;2019; 109.762 ;EQUINOX;;;
TOYOTA ;HILUX CD4X4 LE;D;>100;2015; 109.693 ;HILUX;;;
PEUGEOT ;EXPERT EUROLAF;D;>100;2021; 109.636 ;EXPERT;;;
CHEVROLET ;CAMARO 1SS;G;>100;2013; 109.607 ;CAMARO;;;
AUDI ;A3;G;>100;2018; 109.601 ;A3;;;
VOLVO ;VM 270 6X4R;D;>100;2011; 109.601 ;VM;;;
VOLVO ;FH 440 4X2T;D;>100;2009; 109.585 ;FH;;;
VW ;TOUAREG V6;G;>100;2014; 109.566 ;TOUAREG;;;
JAGUAR ;XF V8 P LUXURY;G;>100;2008; 109.543 ;XF;;;
BMW ;528I;G;>100;2014; 109.525 ;528I;;;
VOLVO ;V60 2.0 T6 R DES;G;>100;2015; 109.517 ;V60;;;
VW ;MPOLO SENIOR MO;D;>100;2011; 109.509 ;MPOLO;;;
BMW ;X1 S20I ACTIVEFLEX;G;>100;2016; 109.470 ;X1;;;
JEEP ;RENEGADE LNGTD AT;G;>100;2021; 109.454 ;RENEGADE;;;
TOYOTA ;HILUX CSLSTM4FD;D;>100;2020; 109.445 ;HILUX;;;
TOYOTA ;HILUX CSLSTM4FD;G;>100;2020; 109.445 ;HILUX;;;
CHEVROLET ;S10 HC DD4A;D;>100;2015; 109.392 ;S10;;;
FIAT ;DUCATO ENGESIGEXE;D;>100;2018; 109.367 ;DUCATO;;;
RENAULT ;MASTER EUR ESCL2;D;>100;2016; 109.326 ;MASTER;;;
VW ;6.160 DRC 4X2;D;>100;2019; 109.310 ;6.160;;;
VW ;BMB 17.250 CLC CM;D;>100;2011; 109.306 ;BMB;;;
VW ;COMIL CAMPIONE R;D;>100;2008; 109.301 ;COMIL;;;
JEEP ;GCHEROKEE LRD3.6L;G;>100;2015; 109.297 ;GCHEROKEE;;;
JEEP ;RENEGADE LNGTD AT D;D;>100;2020; 109.285 ;RENEGADE;;;
JEEP ;WRANGLER ULT 3.6L;G;>100;2015; 109.282 ;WRANGLER;;;
VW ;24.280 CRM 6X2;D;>100;2012; 109.277 ;24.280;;;
VW ;24.280 CRM 6X2 4P;D;>100;2012; 109.277 ;24.280;;;
VW ;31.370 CNM 6X4;D;>100;2009; 109.244 ;31.370;;;
BMW ;X1 X28I ACTIVEFLEX;G;>100;2014; 109.209 ;X1;;;
VW ;8.160 DRC TOPLINE CD;D;>100;2017; 109.203 ;8.160;;;
KIA ;SORENTO 2.4EX3 G27;G;>100;2017; 109.162 ;SORENTO;;;
CHEV ;TRACKER 12T A LTZ;G;>100;2021; 109.132 ;TRACKER;;;
VW ;NIVUS HL TSI AD;G;>100;2021; 109.132 ;NIVUS;;;
VW ;MASCA GRANMINI O;D;>100;2015; 109.130 ;MASCA;;;
VW ;15.190 CRM 4X2 4P;D;>100;2014; 109.093 ;15.190;;;
HONDA ;CIVIC COUPE SI;G;>100;2018; 109.090 ;CIVIC;;;
JEEP ;CHEROKEE SPORT;G;>100;2015; 109.087 ;CHEROKEE;;;
JEEP ;COMPASS TRAILHAWK D;D;>100;2017; 109.086 ;COMPASS;;;
FORD ;CARGO 1519 B;D;>100;2015; 109.050 ;CARGO;;;
TOYOTA ;HILUX CDSRVA2GF;G;>100;2019; 109.047 ;HILUX;;;
KIA ;SORENTO 3.3EX3 G27;G;>100;2015; 109.040 ;SORENTO;;;
FORD ;CARGO 2632 E;D;>100;2009; 109.028 ;CARGO;;;
